주차,프로그램명,채널,요일,게시글(건수),댓글(건수),동영상조회(건수),뉴스(건수),동영상(건수),게시글(점유율%),댓글(점유율%),동영상조회(점유율%),뉴스(점유율%),동영상(점유율%),가구시청자수,2049시청자수,가구시청률(%),2049시청률(%)
202045,나를사랑한스파이,MBC,수목,251,499,"53,104",396,41,0.4,0.1,0.1,1,0.7,"586,714","340,708",2.9,1.5
202045,카이로스,MBC,월화,"1,621","5,491","273,501",778,73,2.8,1.1,0.3,1.9,1.2,"673,153","338,871",3.3,1.5
202045,펜트하우스,SBS,월화,"4,610","16,551","4,570,177","1,312",78,8.1,3.3,5.6,3.3,1.3,"1,743,271","943,765",8.6,4.2
202045,산후조리원,tvN,월화,"1,694","12,154","2,489,479","1,212",116,3,2.4,3.1,3,1.9,"845,288","674,147",4.2,3
202045,KBS드라마스페셜2020,KBS2,수목,120,206,"56,722",722,28,0.2,0,0.1,1.8,0.4,"519,319","153,546",2.6,0.7
202045,제발그남자만나지마요,MBCevery1,월화,38,129,"7,777",210,4,0.1,0,0,0.5,0.1,0,0,0,0
202045,라이브온,JTBC,월화,119,"1,423","160,528",331,8,0.2,0.3,0.2,0.8,0.1,0,0,0,0
202045,복수해라,TVCHOSUN,토일,29,46,"2,165",199,2,0.1,0,0,0.5,0,0,0,0,0
202045,경이로운소문,OCN,토일,70,409,"10,250",156,6,0.1,0.1,0,0.4,0.1,0,0,0,0
202046,도도솔솔라라솔,KBS2,수목,"1,346","8,298","468,156",360,59,2.4,1.7,0.6,0.9,0.9,"437,454","278,211",2.1,1.2
202046,트웬티트웬티,JTBC,토일,24,89,22,7,0,0,0,0,0,0,"95,599","40,115",0.5,0.2
202046,18어게인,JTBC,월화,"1,912","12,594","1,610,283","1,339",75,3.5,2.6,2.1,3.3,1.1,"603,983","450,420",3,2
202046,사생활,JTBC,수목,536,"2,590","219,525",465,43,1,0.5,0.3,1.1,0.7,"298,323","196,914",1.5,0.9
202046,오삼광빌라,KBS2,토일,"1,246","2,750","1,524,850",613,70,2.3,0.6,2,1.5,1.1,"4,558,088","1,624,329",22.4,7.2
