프로그램명,방송시작일,채널,요일,게시글수,댓글수,동영상조회(K),뉴스,동영상수,가구시청자수(K),개인시청자수(K),남성시청자수(K),여성시청자수(K),10대시청자수(K),20대시청자수(K),30대시청자수(K),40대시청자수(K),50대시청자수(K),TVVOD시청자수(K),PC실시간(K),PCVOD(K),Mobile실시간(K),MobileVOD(K)
연애는귀찮지만외로운건싫어,2020.08.11,MBCeve,월화,450,"2,161",249,"1,839",158,73,106,36,71,8,7,18,25,16,-,226,369,550,"1,674"
시네마틱드라마SF8,2020.08.14,MBC,금,403,"1,335",60,829,68,287,447,194,253,44,31,85,105,88,0,-,-,139,80
좀비탐정,2020.09.21,KBS2,월화,256,717,64,839,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-
십시일반,2020.07.22,MBC,수목,250,356,145,757,182,510,716,301,415,11,52,108,122,170,0,244,"1,287",581,"3,749"
경우의수,2020.09.25,JTBC,금,208,519,50,7,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18어게인,2020.09.21,JTBC,월화,197,895,71,348,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-
사생활,2020.10.07,JTBC,수목,92,643,31,187,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
거짓말의거짓말,2020.09.04,채널A,금,71,83,19,575,10,-,-,-,-,-,-,-,-,-,-,-,-,13,36
오!삼광빌라!,2020.09.19,KBS2,토일,52,177,0,147,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
청춘기록,2020.09.07,tvN,월화,"32,419","180,104","11,168","5,640",438,"1,250","1,923",757,"1,166",112,156,269,490,472,1.2,"13,874","17,495","16,754","18,144"
비밀의숲2,2020.08.15,tvN,토일,"28,269","116,260","7,232","3,065",407,"1,273","2,088",938,"1,150",125,204,283,571,441,2,"6,433","14,380","16,878","28,970"
브람스를좋아하세요,2020.08.31,SBS,월화,"22,097","173,970","11,151","4,122",394,856,"1,277",528,749,51,92,165,287,313,0.2,931,"6,182","4,002","20,148"
악의꽃,2020.07.29,tvN,수목,"17,832","115,716","10,609","3,662",383,892,"1,323",518,805,86,133,249,384,251,0.6,"3,915","7,180","18,207","44,692"
한번다녀왔습니다,2020.03.28,KBS2,토일,"8,744","62,125","9,982","1,782",165,"6,445","9,567","3,998","5,570",463,581,805,"1,453","2,232",0.3,"1,488","1,030","15,984","14,788"
앨리스,2020.08.28,SBS,금,"5,354","24,808","4,754","3,955",269,"1,425","2,183",981,"1,201",145,143,231,579,571,0.6,"1,860","4,226","12,466","18,718"
18어게인,2020.09.21,JTBC,월화,"5,237","29,980","1,869","2,658",180,489,805,363,442,52,87,94,188,222,0.4,381,"1,074","4,025","7,950"
트웬티트웬티,2020.09.06,JTBC,토일,"4,989","41,504","7,259",402,17,106,156,69,86,3,14,20,27,47,-,-,-,65,"1,647"
오!삼광빌라!,2020.09.19,KBS2,토일,"3,132","8,775",719,"2,735",182,"4,213","5,904","2,424","3,480",233,308,404,750,"1,368",0.1,"1,475","3,997","5,306","3,445"
내가가장예뻤을때,2020.08.19,MBC,수목,"3,033","16,340","4,679","1,866",341,631,856,324,532,35,63,102,160,206,0.1,"2,104","2,292","1,917","3,191"
경우의수,2020.09.25,JTBC,금,"2,908","23,879","1,024","1,918",115,275,490,198,292,30,31,43,179,80,0,239,865,307,427
미씽그들이있었다,2020.08.29,OCN,토일,"2,263","8,836","1,472","1,370",315,653,"1,108",496,611,81,93,150,394,228,0.5,-,-,-,-
