프로그램명,방송시작일,채널,요일,게시글수,댓글수,동영상조회(K),뉴스,동영상수,가구시청률(%),개인시청률(%),남성시청률(%),여성시청률(%),10대시청률(%),20대시청률(%),30대시청률(%),40대시청률(%),50대시청률(%),TVVOD시청자수(K),PC실시간(K),PCVOD(K),Mobile실시간(K),MobileVOD(K)
악의꽃,2020.07.29,tvN,수목,"14,214","83,437","9,121","3,188",394,3.3,2.1,1.8,2.4,1.1,1.5,2.4,3.1,2.5,0.6,"5,397","8,589","19,384","44,731"
편의점샛별이,2020.06.19,SBS,금,"3,507","14,608","2,054","1,214",86,6.3,3.9,4,3.9,3.2,1.6,2.7,6.9,5.8,0.2,"4,253","7,265","5,942","15,931"
우리사랑했을까,2020.07.08,JTBC,수목,"3,466","17,749","2,488","1,262",200,1.6,1,0.8,1.3,0.6,0.6,0.8,1.4,1.5,0.4,92,"1,331","2,020","13,259"
앨리스,2020.08.28,SBS,금,"2,696","10,806","1,269","3,418",126,1.7,1.2,1,1.3,0.4,1.3,0.7,1.8,1.4,0.2,81,25,"2,099","1,720"
모범형사,2020.07.06,JTBC,월화,"2,095","4,983","1,404","2,393",235,5.5,3.4,3.2,3.6,2.2,1.9,2.1,5.3,5.9,0.3,"2,803","5,474","9,342","28,359"
트레인,2020.07.11,OCN,토일,"1,913","9,087",213,764,262,1.5,0.8,0.8,0.8,0.3,0.2,0.6,1.8,1,0.3,-,-,-,-
그놈이그놈이다,2020.07.06,KBS2,월화,"1,750","7,756","1,057","2,361",213,3,1.6,1.2,1.9,0.5,0.6,1.1,1.5,2.3,0,"2,765","3,238","4,355","11,841"
우아한친구들,2020.07.10,JTBC,금,"1,403","2,748","2,250","1,870",261,3.3,1.8,1.5,2.1,0.7,1.2,1,2.5,3.5,0.3,"2,462","1,657","4,404","12,714"
브람스를좋아하세요,2020.08.31,SBS,월화,"1,251","5,356",608,"1,829",68,0,0,0,0,0,0,0,0,0,-,-,-,-,-
청춘기록,2020.09.07,tvN,월화,"1,239","11,253",223,936,16,0,0,0,0,0,0,0,0,0,-,-,-,-,-
출사표,2020.07.01,KBS2,수목,987,"3,775",330,"1,228",170,2.5,1.4,1.3,1.5,0.6,0.7,0.7,1.8,2.4,0.1,"2,478","5,085","2,956","4,633"
미씽그들이있었다,2020.08.29,OCN,토일,897,"2,379",365,"1,142",132,2.4,1.5,1.5,1.6,0.6,0.9,1.7,2.9,2,0.3,-,-,-,-
도도솔솔라라솔,2020.10.07,KBS2,수목,854,"5,131",94,"1,361",14,0,0,0,0,0,0,0,0,0,-,-,-,-,-
내가가장예뻤을때,2020.08.19,MBC,수목,819,"2,995","1,001","1,439",158,2.7,1.5,1.2,1.9,0.5,1,1.4,1.7,2.5,0.1,78,79,445,958
트웬티트웬티,2020.09.06,JTBC,토일,724,"8,579","2,104",62,2,0,0,0,0,0,0,0,0,0,-,-,-,-,-
연애는귀찮지만외로운건싫어,2020.08.11,MBCeve,월화,450,"2,161",249,"1,839",158,0.4,0.2,0.1,0.3,0.2,0.1,0.3,0.3,0.2,-,226,369,550,"1,674"
시네마틱드라마SF8,2020.08.14,MBC,금,403,"1,335",60,829,68,1.4,0.9,0.8,1,0.9,0.4,1.2,1.3,1,0,-,-,139,80
좀비탐정,2020.09.21,KBS2,월화,256,717,64,839,9,0,0,0,0,0,0,0,0,0,-,-,-,-,-
십시일반,2020.07.22,MBC,수목,250,356,145,757,182,2.5,1.4,1.2,1.6,0.2,0.7,1.5,1.5,2,0,244,"1,287",581,"3,749"
경우의수,2020.09.25,JTBC,금,208,519,50,7,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-
18어게인,2020.09.21,JTBC,월화,197,895,71,348,6,0,0,0,0,0,0,0,0,0,-,-,-,-,-
사생활,2020.10.07,JTBC,수목,92,643,31,187,2,0,0,0,0,0,0,0,0,0,-,-,-,-,-
거짓말의거짓말,2020.09.04,채널A,금,71,83,19,575,10,0,0,0,0,0,0,0,0,0,-,-,-,13,36
오!삼광빌라!,2020.09.19,KBS2,토일,52,177,0,147,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-
청춘기록,2020.09.07,tvN,월화,"32,419","180,104","11,168","5,640",438,6.1,3.8,3,4.6,2.4,2.2,3.7,5.9,5.5,1.2,"13,874","17,495","16,754","18,144"
비밀의숲2,2020.08.15,tvN,토일,"28,269","116,260","7,232","3,065",407,6.3,4.1,3.7,4.6,2.6,2.9,3.9,6.9,5.1,2,"6,433","14,380","16,878","28,970"
브람스를좋아하세요?,2020.08.31,SBS,월화,"22,097","173,970","11,151","4,122",394,4.2,2.5,2.1,3,1.1,1.3,2.3,3.5,3.6,0.2,931,"6,182","4,002","20,148"
악의꽃,2020.07.29,tvN,수목,"17,832","115,716","10,609","3,662",383,4.4,2.6,2.1,3.2,1.8,1.9,3.5,4.6,2.9,0.6,"3,915","7,180","18,207","44,692"
한번다녀왔습니다,2020.03.28,KBS2,토일,"8,744","62,125","9,982","1,782",165,31.7,19,15.8,22.1,9.8,8.3,11.2,17.5,26,0.3,"1,488","1,030","15,984","14,788"
앨리스,2020.08.28,SBS,금,"5,354","24,808","4,754","3,955",269,7,4.3,3.9,4.8,3.1,2.1,3.2,7,6.7,0.6,"1,860","4,226","12,466","18,718"
18어게인,2020.09.21,JTBC,월화,"5,237","29,980","1,869","2,658",180,2.4,1.6,1.4,1.8,1.1,1.2,1.3,2.3,2.6,0.4,381,"1,074","4,025","7,950"
트웬티트웬티,2020.09.06,JTBC,토일,"4,989","41,504","7,259",402,17,0.5,0.3,0.3,0.3,0.1,0.2,0.3,0.3,0.5,-,-,-,65,"1,647"
오!삼광빌라!,2020.09.19,KBS2,토일,"3,132","8,775",719,"2,735",182,20.7,11.7,9.6,13.8,4.9,4.4,5.6,9,15.9,0.1,"1,475","3,997","5,306","3,445"
내가가장예뻤을때,2020.08.19,MBC,수목,"3,033","16,340","4,679","1,866",341,3.1,1.7,1.3,2.1,0.7,0.9,1.4,1.9,2.4,0.1,"2,104","2,292","1,917","3,191"
경우의수,2020.09.25,JTBC,금,"2,908","23,879","1,024","1,918",115,1.4,1,0.8,1.2,0.6,0.4,0.6,2.2,0.9,0,239,865,307,427
미씽그들이있었다,2020.08.29,OCN,토일,"2,263","8,836","1,472","1,370",315,3.2,2.2,2,2.4,1.7,1.3,2.1,4.8,2.7,0.5,-,-,-,-
거짓말의거짓말,2020.09.04,채널A,금,"2,210","8,123","1,157","1,890",198,2.8,1.6,1.2,1.9,0.6,0.7,0.7,1.7,3.2,0.1,667,"2,361","4,863","7,301"
좀비탐정,2020.09.21,KBS2,월화,"1,357","5,343",352,"2,709",91,3,1.9,1.7,2.2,1.3,0.8,1.1,3.2,2.2,0.1,"1,937","1,837",909,"1,503"
우리사랑했을까,2020.07.08,JTBC,수목,698,"2,056",118,542,24,1.8,1.2,1.1,1.2,0.3,0.9,1.5,1.3,1.4,0,-,314,225,720
스타트업,2020.10.17,tvN,토일,650,"3,072",117,435,6,0,0,0,0,0,0,0,0,0,-,-,-,624,88
사생활,2020.10.07,JTBC,수목,438,"3,079",309,449,21,0,0,0,0,0,0,0,0,0,-,-,-,-,-
우아한친구들,2020.07.10,JTBC,금,425,912,456,560,66,4,2.2,1.7,2.7,0.4,1.5,1,3.1,4.6,0,153,"2,578",807,"6,670"
연애는귀찮지만외로운건싫어,2020.08.11,MBCeve,월화,409,"2,269",202,"1,160",159,0.2,0.1,0.1,0.1,0,0.1,0.1,0.3,0.1,0,443,655,381,"2,842"
학교기담,2020.09.12,TVCHOS,토일,320,935,9,173,35,1.1,0.6,0.5,0.6,0.4,0.3,0.3,0.4,0.7,-,-,40,2,719
구미호뎐,2020.10.07,tvN,수목,299,"2,412",433,754,31,0,0,0,0,0,0,0,0,0,-,-,-,-,295
도도솔솔라라솔,2020.10.07,KBS2,수목,269,763,29,432,8,0,0,0,0,0,0,0,0,0,-,-,-,-,-
그놈이그놈이다,2020.07.06,KBS2,월화,212,806,109,568,31,2.9,1.5,1.2,1.9,0.4,0.6,0.8,1.2,1.7,0,556,41,344,562
시네마틱드라마SF8,2020.08.14,MBC,금,201,362,26,314,50,1.2,0.7,0.6,0.7,0.4,0.3,0.5,1.1,0.7,0,-,-,-,-
써치,2020.10.17,OCN,토일,60,417,56,224,5,0,0,0,0,0,0,0,0,0,-,-,-,-,-
나의위험한아내,2020.10.05,MBN,월화,37,50,8,377,4,0,0,0,0,0,0,0,0,0,-,-,-,-,-
나를사랑한스파이,2020.10.21,MBC,수목,23,50,0,71,1,0,0,0,0,0,0,0,0,0,-,-,-,-,-
청춘기록,2020.09.07,tvN,월화,"34,300","167,309","11,787","4,675",448,6.9,4.1,3.2,5,2.4,2,4,5.9,5.8,1.1,"14,047","20,882","18,382","33,025"
브람스를좋아하세요?,2020.08.31,SBS,월화,"28,769","183,984","7,920","2,240",233,3.6,2.2,1.8,2.7,0.9,1.1,2.1,3,2.7,0.1,105,"4,469","3,171","18,894"
스타트업,2020.10.17,tvN,토일,"15,781","82,843","4,382","3,754",345,3.9,2.6,2.2,3,2.3,2,2.3,3.9,3.5,0.6,10,79,85,"2,121"
구미호뎐,2020.10.07,tvN,수목,"15,281","83,158","18,310","4,194",488,5.2,3.4,3,3.8,3,1.9,4.2,6.6,3.8,1.1,"5,724","6,329","29,865","81,968"
18어게인,2020.09.21,JTBC,월화,"9,977","81,255","7,482","2,593",340,3,1.9,1.7,2.2,1.8,1.4,1.6,2.8,3.4,0.8,"1,910","8,438","12,784","77,150"
비밀의숲2,2020.08.15,tvN,토일,"8,942","39,235","1,921",466,88,7.5,4.8,4.4,5.2,2.7,2.7,4.9,8.3,6.7,0.5,"2,483","32,347","11,859","38,263"
도도솔솔라라솔,2020.10.07,KBS2,수목,"6,151","33,236","2,041","2,471",285,2.6,1.5,1.2,1.9,1.3,0.6,1.1,2.2,2.1,0.3,"1,840","4,774","4,629","10,650"
펜트하우스,2020.10.26,SBS,월화,"5,761","22,099","2,720","3,058",141,6.4,3.8,3.2,4.4,1.9,1.8,2.8,5.2,6.4,0.1,29,217,"2,458","5,296"
사생활,2020.10.07,JTBC,수목,"4,987","20,700","1,444","2,693",238,1.9,1.2,1.1,1.3,0.4,0.8,1.1,1.6,1.9,1,"1,413","9,878","1,724","6,115"
오!삼광빌라!,2020.09.19,KBS2,토일,"4,111","9,057","3,093","2,139",314,20.6,11.5,9.5,13.5,4.9,4.7,5.2,8.4,16.7,0.3,"5,768","1,844","15,354","14,333"
경우의수,2020.09.25,JTBC,금,"3,287","33,851","2,814","1,719",322,1.3,1,0.8,1.1,0.7,0.7,0.6,1.6,1.3,0.1,337,"1,090","1,407","4,288"
거짓말의거짓말,2020.09.04,채널A,금,"2,787","10,557","3,151","1,695",230,4.6,2.7,2.1,3.2,1,1.5,1.7,2.3,5.1,0.1,701,"2,538","7,327","17,080"
써치,2020.10.17,OCN,토일,"2,694","14,707","1,542","1,465",281,2.8,1.9,1.8,2,1.7,1,1.4,3.3,2.9,0.3,-,-,-,-
앨리스,2020.08.28,SBS,금,"2,554","14,406","3,724","2,241",184,6.1,3.8,3.5,4.1,2.3,1.5,2.6,6.5,5.9,0.4,"3,328","1,289","7,288","20,054"
카이로스,2020.10.26,MBC,월화,"2,526","8,225",300,"2,071",96,3.2,1.8,1.6,2,0.8,0.7,1.4,2.1,2.6,0,-,-,277,"1,275"
내가가장예뻤을때,2020.08.19,MBC,수목,"2,422","10,036","1,916","1,039",161,3,1.6,1.2,2,0.6,0.6,1.4,1.5,2.1,0,295,426,"1,319","2,959"
미씽그들이있었다,2020.08.29,OCN,토일,"2,087","4,924","1,000",427,194,3.1,2,1.8,2.2,1.4,0.9,2,4.1,2.9,0.3,-,-,-,-
트웬티트웬티,2020.09.06,JTBC,토일,"1,422","20,702","5,512",326,22,0.5,0.3,0.3,0.3,0.3,0.1,0.2,0.3,0.6,-,-,299,18,"4,248"
나를사랑한스파이,2020.10.21,MBC,수목,"1,187","3,045",465,"2,044",178,3.1,2,1.8,2.1,1.3,1.2,1.5,2.7,2.8,0.1,642,"2,356","1,158","6,304"
좀비탐정,2020.09.21,KBS2,월화,"1,140","4,228",316,"1,789",167,2.4,1.4,1.4,1.5,0.9,0.6,0.9,2,1.9,0.2,"4,158","4,531","4,266","7,033"
나의위험한아내,2020.10.05,MBN,월화,751,"2,156",369,"2,046",300,2,1,0.9,1.2,0.2,0.5,0.3,0.9,2,0.2,149,"2,394","1,737","6,819"
날아라개천용,2020.10.30,SBS,금,641,"1,315",366,"1,843",119,4.5,2.6,2.3,2.8,1.4,1.4,1.7,3.8,4.2,0,949,94,"1,331",206
산후조리원,2020.11.02,tvN,월화,241,960,138,851,35,0,0,0,0,0,0,0,0,0,-,-,-,-,-
연애는귀찮지만외로운건싫어,2020.08.11,MBCeve,월화,165,511,63,487,70,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.2,0,181,117,318,"1,740"
라이브온,2020.11.17,JTBC,월화,117,"1,201",168,175,2,0,0,0,0,0,0,0,0,0,-,-,-,-,-
KBS드라마스페셜2020,2020.11.07,KBS2,수목,66,138,10,188,6,0,0,0,0,0,0,0,0,0,-,-,-,-,-
제발그남자만나지마요,2020.11.10,MBCeve,월화,22,31,3,256,2,0,0,0,0,0,0,0,0,0,-,-,-,-,-
시네마틱드라마SF8,2020.08.14,MBC,금,19,37,7,57,14,1.3,0.7,0.7,0.8,0.5,0.4,1.1,1,0.9,-,-,-,-,-
복수해라,2020.11.21,TVCHOS,토일,11,18,1,85,2,0,0,0,0,0,0,0,0,0,-,-,-,-,-
펜트하우스,2020.10.26,SBS,월화,"22,167","78,151","26,241","5,854",320,10.9,6.4,5.4,7.4,2.8,4.1,4.9,8.1,11.5,0.8,"2,676","12,006","15,031","57,882"
스타트업,2020.10.17,tvN,토일,"20,213","189,442","14,005","4,429",655,4,2.7,2.1,3.2,2.6,2.2,1.8,4.9,3.6,1,"7,343","17,280","15,493","34,017"
구미호뎐,2020.10.07,tvN,수목,"10,475","85,552","25,057","3,326",481,4.9,3.2,2.7,3.7,3.4,2,3.3,6.6,3.6,0.7,"3,654","10,196","29,859","92,870"
도도솔솔라라솔,2020.10.07,KBS2,수목,"6,844","38,213","1,883","1,746",249,2.4,1.4,1.1,1.8,1,0.9,0.9,2.1,2.1,0.1,"2,171","2,880","5,575","7,828"
카이로스,2020.10.26,MBC,월화,"6,642","22,825","1,140","2,773",274,2.6,1.4,1.2,1.6,0.5,0.6,0.9,2,1.9,0.3,"3,814","7,359","1,680","9,910"
오!삼광빌라!,2020.09.19,KBS2,토일,"5,282","11,668","4,909","2,803",308,23.3,13.4,11.1,15.7,6.1,6.2,5.5,10.8,19.5,0.4,"9,256","7,922","27,053","18,370"
산후조리원,2020.11.02,tvN,월화,"4,621","37,289","13,517","4,549",470,3.5,2.3,1.6,2.9,1.4,1.8,3.2,3.4,2.7,0.1,"5,726","7,611","15,915","30,434"
18어게인,2020.09.21,JTBC,월화,"3,213","30,010","4,464","1,958",165,3,2,1.7,2.3,1.8,1.7,1.4,2.8,3.1,0.3,"1,396","7,771","6,035","25,283"
경우의수,2020.09.25,JTBC,금,"2,202","18,884","2,120","2,253",211,1.3,0.9,0.8,1,0.5,0.5,0.4,1.8,1.3,0.2,"1,420","2,352","1,754","7,756"
사생활,2020.10.07,JTBC,수목,"1,990","12,623","1,223","1,921",198,1.5,0.9,0.8,1,0.3,0.5,0.6,1.2,1.7,0.5,"1,387","5,819",526,"9,885"
라이브온,2020.11.17,JTBC,월화,"1,740","15,344","1,709","2,662",64,1.2,0.7,0.6,0.8,0.3,0.4,0.6,1.2,0.9,0,108,410,"1,423","4,422"
써치,2020.10.17,OCN,토일,"1,669","8,424","1,137",786,235,3.7,2.4,2.2,2.6,1.9,1.3,1.8,4.3,3.9,0.4,-,-,-,-
경이로운소문,2020.11.28,OCN,토일,"1,473","5,865",573,"2,417",188,3.9,2.6,2.4,2.7,1.9,1.5,2.1,5,4,0.6,-,-,-,-
나를사랑한스파이,2020.10.21,MBC,수목,"1,163","2,557",427,"1,820",212,2.6,1.5,1.3,1.7,0.9,0.6,1.2,2.2,2.3,0.1,"1,628","9,611","1,055","10,508"
청춘기록,2020.09.07,tvN,월화,"1,105","1,434",0,14,0,0,0,0,0,0,0,0,0,0,-,-,410,382,"15,720"
날아라개천용,2020.10.30,SBS,금,982,"2,141",646,"2,233",203,4.6,2.7,2.5,2.9,1.4,1.3,1.7,4.2,4.4,0.2,"4,362","6,481","8,897","14,519"
복수해라,2020.11.21,TVCHOS,토일,696,920,82,"2,403",73,2.8,1.5,1.3,1.7,0.4,1,0.5,1,2.3,0.1,334,589,995,"1,459"
낮과밤,2020.11.30,tvN,월화,608,"3,473",233,"1,833",104,4.5,2.7,2.4,3,1.1,2.1,1.8,4.4,4.3,0.1,70,-,20,-
철인왕후,2020.12.12,tvN,토일,553,"3,815","1,087",843,33,0,0,0,0,0,0,0,0,0,-,-,-,-,-
KBS드라마스페셜2020,2020.11.07,KBS2,수목,550,"1,178",140,"2,167",152,1.7,0.9,0.7,1.2,0.5,0.4,0.6,0.9,1.6,0,35,831,40,"1,805"
허쉬,2020.12.11,JTBC,금,511,"1,544",138,926,11,0,0,0,0,0,0,0,0,0,-,-,-,-,-
여신강림,2020.12.09,tvN,수목,439,"2,631",399,901,13,0,0,0,0,0,0,0,0,0,-,-,-,-,-
나의위험한아내,2020.10.05,MBN,월화,391,639,309,"1,704",286,1.9,1,0.7,1.2,0.2,0.5,0.4,1,2,0.1,126,940,"2,584","9,209"
제발그남자만나지마요,2020.11.10,MBCeve,월화,389,"1,353",86,"1,484",93,0.4,0.3,0.2,0.3,0.4,0.2,0.2,0.6,0.3,0.1,745,"3,843",344,"2,354"
바람피면죽는다,2020.12.02,KBS2,수목,185,401,53,826,21,0,0,0,0,0,0,0,0,0,-,-,-,-,-
런온,2020.12.16,JTBC,수목,143,942,53,319,5,0,0,0,0,0,0,0,0,0,-,-,-,-,-
트웬티트웬티,2020.09.06,JTBC,토일,67,249,11,92,0,0.4,0.2,0.2,0.2,0.1,0.1,0.2,0.1,0.5,-,-,-,-,-
암행어사조선비밀수사단,2020.12.21,KBS2,월화,22,194,14,73,6,0,0,0,0,0,0,0,0,0,-,-,-,-,-
좀비탐정,2020.09.21,KBS2,월화,9,44,0,0,0,0,0,0,0,0,0,0,0,0,-,-,22,-,21
펜트하우스,2020.10.26,SBS,월화,"78,643","382,647","68,477","9,523",433,17.8,11.3,9.4,13.3,7,7.4,9.1,14.3,18.3,1.2,"5,400","20,412","26,689","136,325"
철인왕후,2020.12.12,tvN,토일,"13,987","74,482","20,694","5,002",317,7.6,5.3,4.7,6,4.4,2.8,4,10.7,7.1,-,"7,601","12,509","31,434","75,857"
경이로운소문,2020.11.28,OCN,토일,"12,657","79,778","13,945","3,338",415,6.8,4.7,4.4,4.9,4.9,2.7,4.2,9.1,6.5,1.6,"1,392","12,222","4,528","72,109"
여신강림,2020.12.09,tvN,수목,"8,964","97,344","21,499","6,648",319,3.6,2.3,1.7,3,3.1,1.8,2.8,4.1,2.2,-,"3,311","4,652","15,625","34,264"
카이로스,2020.10.26,MBC,월화,"5,448","16,162",621,"3,130",260,2.6,1.4,1.2,1.6,0.5,0.4,0.8,2.6,1.8,0.3,"5,621","3,280","2,435","13,466"
허쉬,2020.12.11,JTBC,금,"5,264","14,672","1,127","4,204",227,2.1,1.4,1.4,1.4,0.6,0.9,1.1,1.7,2.2,-,"2,590","3,897","6,409","8,393"
구미호뎐,2020.10.07,tvN,수목,"4,706","41,400","6,119","1,312",128,5.2,3.3,2.8,3.9,3.1,2.2,3.5,7.1,3.5,0.2,"2,102","5,836","10,983","32,865"
런온,2020.12.16,JTBC,수목,"4,131","20,864","1,850","3,924",291,2.1,1.4,1.3,1.6,1.1,0.7,0.8,2.6,2,-,"1,633","1,836","2,626","3,247"
오!삼광빌라!,2020.09.19,KBS2,토일,"3,787","10,732","2,986","2,347",270,24.2,14.3,11.9,16.7,7.1,6.7,6.4,11.3,20,0.5,"3,914","8,825","17,839","11,058"
스타트업,2020.10.17,tvN,토일,"2,938","35,770","3,044",757,130,4.1,2.7,2.1,3.2,2.5,2.4,2.3,4.7,3.2,0.1,"1,810","6,070","2,313","13,140"
라이브온,2020.11.17,JTBC,월화,"2,866","30,053","5,727","1,805",128,0.7,0.4,0.4,0.5,0.3,0.3,0.3,0.7,0.5,0.2,92,"1,579","1,763","10,205"
낮과밤,2020.11.30,tvN,월화,"1,846","7,219","3,222","3,448",428,4,2.4,2,2.8,1.3,1.3,1.8,4.4,3.7,0.6,"6,370","9,393","8,502","31,463"
바람피면죽는다,2020.12.02,KBS2,수목,"1,627","3,778",817,"4,480",204,3.1,1.8,1.5,2.1,0.9,1,1.1,2.2,2.6,-,"1,045","1,197","3,936","11,381"
날아라개천용,2020.10.30,SBS,금,"1,295","8,098",264,"2,263",106,4.2,2.5,2.4,2.7,1.1,1.4,1.7,3.4,4.3,0.1,"1,939",785,"2,282","5,608"
암행어사조선비밀수사단,2020.12.21,KBS2,월화,"1,242","5,205",600,"4,038",147,4.6,2.5,2.3,2.6,0.9,1,0.9,2.9,3.8,-,"1,039","1,662","2,306","4,220"
나를사랑한스파이,2020.10.21,MBC,수목,715,"1,150",368,"1,516",206,2.3,1.3,1.2,1.5,0.7,0.7,1.1,1.9,1.6,0.1,"4,370","2,890",977,"3,797"
복수해라,2020.11.21,TVCHOS,토일,515,959,58,"1,024",65,2,1.1,1,1.3,0.2,0.6,0.5,0.7,1.7,0.2,140,"1,478","1,059","11,463"
KBS드라마스페셜2020,2020.11.07,KBS2,수목,495,"1,370",118,"1,776",90,1.2,0.7,0.6,0.7,0.4,0.4,0.5,0.7,1,-,-,-,-,-
제발그남자만나지마요,2020.11.10,MBCeve,월화,376,"1,783",209,810,156,0.3,0.2,0.2,0.3,0.2,0.2,0.2,0.5,0.4,0.1,810,"2,329",650,"2,791"
선배그립스틱바르지마요,2021.01.18,JTBC,월화,46,762,152,216,11,0,0,0,0,0,0,0,0,0,-,-,-,-,-
펜트하우스,2020.10.26,SBS,월화,"36,973","181,639","21,507","4,988",124,21.7,14.2,11.6,16.7,8.4,10.3,10.8,17.4,24.3,0.3,-,-,-,-
경이로운소문,2020.11.28,OCN,토일,"27,593","130,908","14,767","4,695",495,10.4,8.1,7.4,8.7,8.9,6,7.1,14.7,11.6,3.2,"1,239","8,089","7,929","47,238"
철인왕후,2020.12.12,tvN,토일,"26,176","144,293","46,906","4,408",550,10.9,8,7,8.9,6.1,5,5.9,14.2,12.2,2.4,"6,846","12,393","51,047","132,385"
여신강림,2020.12.09,tvN,수목,"15,639","185,795","33,231","5,741",619,3.8,2.9,2.3,3.6,4.5,1.7,2.9,5.3,3,1.2,393,"1,802","30,517","64,532"
런온,2020.12.16,JTBC,수목,"13,724","75,571","5,007","3,294",329,2.4,1.7,1.3,2,1.1,0.9,1.3,2.5,2.5,1.3,"1,224","8,791","6,357","14,550"
펜트하우스2,2021.02.19,SBS,금,"8,219","25,597",492,333,13,0,0,0,0,0,0,0,0,0,-,826,"3,518","9,133","51,796"
오!삼광빌라!,2020.09.19,KBS2,토일,"4,874","13,259","4,266","2,306",336,25.5,15.2,12.8,17.5,6.7,8.2,7.3,11.2,22.1,0.5,"1,687","3,742","12,639","6,730"
선배그립스틱바르지마요,2021.01.18,JTBC,월화,"3,028","16,125","1,750","3,096",170,1.9,1.2,1,1.5,0.9,1,1.3,1.3,1.8,0.2,223,"3,512","1,218","1,352"
허쉬,2020.12.11,JTBC,금,"2,032","4,177",222,"1,989",253,1.8,1.2,1.2,1.2,0.5,0.6,0.6,1.9,1.5,0.4,719,"1,090","1,948","4,493"
암행어사조선비밀수사단,2020.12.21,KBS2,월화,"1,775","8,867","1,065","3,424",238,8.1,4.8,4.4,5.1,2.1,2.1,2.1,4.9,7.4,0.6,797,"1,693","5,126","16,506"
결혼작사이혼작곡,2021.01.23,TVCHOS,토일,"1,475","11,637","1,865","3,252",75,5.1,2.9,2.3,3.6,0.7,1.4,1.4,1.9,3.7,0.3,304,168,"1,271","2,415"
날아라개천용,2020.10.30,SBS,금,"1,317","7,574","1,531","3,456",210,4.6,2.9,2.9,3,1.6,1.6,1.7,3.9,4.8,0.3,"1,968","2,514","6,237","9,602"
낮과밤,2020.11.30,tvN,월화,"1,286","4,982","3,218","2,450",266,4.4,2.7,2.4,3,1.7,1.4,1.6,4.7,4.7,0.4,"1,061","1,106","7,431","23,675"
바람피면죽는다,2020.12.02,KBS2,수목,970,"1,223",444,"3,065",190,2.7,1.4,1.3,1.6,0.9,0.7,0.9,1.4,2.4,0.1,-,49,904,"3,889"
라이브온,2020.11.17,JTBC,월화,832,"7,533","1,627","1,067",35,0.8,0.6,0.5,0.6,0.4,0.3,1.1,0.6,0.4,0.1,-,-,499,"1,055"
빈센조,2021.02.20,tvN,토일,474,"2,167",489,563,7,0,0,0,0,0,0,0,0,0,-,-,-,-,-
루카더비기닝,2021.02.01,tvN,월화,425,"1,494",380,"1,578",41,0,0,0,0,0,0,0,0,0,-,-,-,-,-
시지프스,2021.02.17,JTBC,수목,180,"1,116",84,211,3,0,0,0,0,0,0,0,0,0,-,-,-,-,-
복수해라,2020.11.21,TVCHOS,토일,167,229,55,524,63,2,1.1,0.9,1.3,0.4,0.4,0.4,0.6,1.7,0.1,-,-,"1,743","3,104"
제발그남자만나지마요,2020.11.10,MBCeve,월화,167,723,94,662,61,0.4,0.3,0.3,0.4,0.4,0.3,0.1,0.6,0.5,0,518,"3,282",111,318
달이뜨는강,2021.02.15,KBS2,월화,125,515,4,174,2,0,0,0,0,0,0,0,0,0,-,-,-,-,-
안녕나야,2021.02.17,KBS2,수목,104,233,2,209,2,0,0,0,0,0,0,0,0,0,-,-,-,-,-
괴물,2021.02.19,JTBC,금,78,387,96,316,4,0,0,0,0,0,0,0,0,0,-,-,-,-,-
타임즈,2021.02.20,OCN,토일,45,83,0,203,2,0,0,0,0,0,0,0,0,0,-,-,-,-,-
구미호레시피,2021.02.12,KBS1,금,22,93,12,48,3,0,0,0,0,0,0,0,0,0,-,-,-,-,-
펜트하우스2,2021.02.19,SBS,금,"21,202","200,554","35,742","8,095",356,17.9,12.4,10.2,14.5,10.8,8.8,11.4,14.6,19.6,1.1,"2,039","1,684","23,236","37,999"
빈센조,2021.02.20,tvN,토일,"5,652","38,873","7,377","4,250",286,7.9,5.5,4.8,6.3,4,3.2,3.9,10.5,8.6,1.9,191,671,"9,578","19,799"
철인왕후,2020.12.12,tvN,토일,"4,381","46,302","27,001","2,213",280,13,9.6,8.5,10.6,7,5.9,7.2,16,15.1,0.7,"1,779","17,432","26,620","166,272"
시지프스,2021.02.17,JTBC,수목,"3,724","16,142","1,305","3,059",148,4.9,3.3,2.9,3.7,1.6,2,2.2,5.5,5.7,0.8,70,274,"3,435","4,662"
여신강림,2020.12.09,tvN,수목,"3,081","58,752","9,213","1,783",168,3.8,2.8,2.1,3.5,4,1.4,3,5.5,2.7,0.4,608,"11,040","6,340","33,300"
괴물,2021.02.19,JTBC,금,"2,567","9,658",498,"2,942",161,3.3,2.3,1.9,2.6,1.2,1.1,1.8,3.5,4.1,0.3,682,228,"3,439","6,588"
루카더비기닝,2021.02.01,tvN,월화,"2,474","10,436","4,034","3,257",481,5.3,3.6,3.3,3.9,2.1,1.9,2.2,6.7,6.5,0.9,"3,399","7,165","8,377","20,815"
오!삼광빌라!,2020.09.19,KBS2,토일,"2,270","9,643","4,017","1,954",279,25.3,15.2,12.8,17.7,7.2,7.2,7.5,11.9,22,0.4,999,"5,577","8,666","12,090"
