프로그램명,방송시작일,채널,요일,게시글수,댓글수,동영상조회(K),뉴스,동영상수,가구시청률(%),개인시청률(%),남성시청률(%),여성시청률(%),10대시청률(%),20대시청률(%),30대시청률(%),40대시청률(%),50대시청률(%),TVVOD시청자수(K),PC실시간(K),PCVOD(K),Mobile실시간(K),MobileVOD(K)
엉클,2021.12.11,TVCHOS,토일,90,121,0,263,2,0,0,0,0,0,0,0,0,0,-,-,-,-,-
하트가빛나는순간,2021.09.28,EBS1,월화,30,"6,203","1,760",10,0,0.1,0,0,0,0,0,0,0.1,0,-,-,-,261,767
꽃피면달생각하고,2021.12.20,KBS2,월화,24,66,6,80,1,0,0,0,0,0,0,0,0,0,-,-,-,-,-
한사람만,2021.12.20,JTBC,월화,23,47,13,84,2,0,0,0,0,0,0,0,0,0,-,-,-,-,-
옷소매붉은끝동,2021.11.12,MBC,금,"21,753","157,689","30,987","6,313",466,9.4,5.7,5,6.3,3.1,3,3.1,6.3,9.2,-,"3,592","12,731","30,067","55,731"
설강화:SNOWDROP,2021.12.18,JTBC,토일,"18,159","179,483","6,319","5,766",210,2.1,1.4,1.3,1.5,0.2,1.1,0.6,1.7,2.8,-,"1,724","4,132","2,733","5,907"
그해우리는,2021.12.06,SBS,월화,"7,989","49,411","12,759","3,595",260,3.5,2.3,2,2.6,1.7,1.2,2.2,3.9,3.1,-,"1,494","13,993","4,427","51,124"
태종이방원,2021.12.11,KBS1,토일,"6,735","22,364",834,"2,653",195,7.8,4.3,4.6,4.1,2.5,1.5,2.2,3.4,5.4,-,487,"3,347","1,279","7,899"
불가살,2021.12.18,tvN,토일,"6,075","18,046","3,019","2,160",229,4.6,3.1,2.8,3.5,2.1,1.9,3.1,4.4,5.2,-,"2,360","2,714","4,680","15,786"
해피니스,2021.11.05,tvN,금,"4,547","25,409","3,611",747,203,3.1,2.3,1.9,2.7,2.4,1.4,1.7,3.7,3.8,-,"1,502","1,118","5,627","23,662"
지금헤어지는중입니다,2021.11.12,SBS,금,"4,450","19,867","7,361","2,958",268,4.6,2.8,2.3,3.3,1.4,1,2.6,3.4,3.8,-,324,"3,140","7,228","15,783"
신사와아가씨,2021.09.25,KBS2,토일,"4,021","34,251","16,439","1,612",261,25.6,14.8,12.6,17,6.1,6.9,6.8,11.2,20.9,-,"3,132","6,310","20,397","35,713"
연모,2021.10.11,KBS2,월화,"3,525","21,021","4,578","1,774",111,8.6,4.9,4,5.8,2.3,2.3,2.6,3.8,8.4,-,"1,679","5,813","4,059","24,858"
엉클,2021.12.11,TVCHOS,토일,"2,812","6,898",289,"1,464",149,3,1.9,1.7,2.2,0.5,1.2,0.9,1.1,3.2,-,609,"2,797","1,660","4,085"
지리산,2021.10.23,tvN,토일,"2,662","8,524","1,583",957,171,6.1,4.1,3.5,4.8,2.3,2.8,2.6,6,7.7,-,"4,174","18,903","5,586","11,966"
쇼윈도:여왕의집,2021.11.29,채널A,월화,"2,485","7,366","3,941","2,361",270,3.5,1.9,1.5,2.4,0.5,0.8,1.1,1.4,3.4,-,"5,132","8,782","3,985","10,955"
멜랑꼴리아,2021.11.10,tvN,수목,"2,069","9,384","8,407","2,161",419,1.6,1,0.9,1.1,0.6,0.3,0.8,1.8,1.4,-,"1,186","2,318","3,055","37,750"
공작도시,2021.12.08,JTBC,수목,"2,010","5,310","4,515","2,431",273,2.2,1.4,1.3,1.5,0.6,0.9,0.5,1.5,3,-,"2,583","5,754","7,283","15,846"
꽃피면달생각하고,2021.12.20,KBS2,월화,"1,860","6,591",836,"2,876",151,6.8,3.8,3.3,4.2,1.2,1.9,1.8,3.6,6.1,-,662,"2,312","2,710","7,654"
배드앤크레이지,2021.12.17,tvN,금,"1,758","6,502","1,890","2,217",258,2.7,1.8,1.6,2.1,1.7,0.9,1.4,3.1,3.4,-,"1,017","1,820","4,547","10,152"
어사와조이,2021.11.08,tvN,월화,"1,082","5,096","3,067","2,085",368,2.7,1.6,1.4,1.7,0.5,0.8,1.1,2,2.9,-,"5,446","26,773","8,453","23,202"
너의밤이되어줄게,2021.11.07,SBS,토일,901,"3,662",152,900,55,1.8,1.2,1.1,1.2,0.6,0.8,1,1.2,1.9,-,-,40,55,"1,929"
학교2021,2021.11.24,KBS2,수목,829,"5,860",556,"2,070",243,1.7,0.9,0.9,1,0.5,0.3,0.6,1,1.2,-,151,"3,762",706,"1,893"
너를닮은사람,2021.10.13,JTBC,수목,687,"2,726","1,819",558,67,1.5,0.9,0.6,1.1,0.2,0.5,0.8,1.2,1.5,-,403,565,"1,573","8,573"
한사람만,2021.12.20,JTBC,월화,613,"2,362",370,"1,999",179,1.2,0.7,0.7,0.8,0.3,0.5,0.4,1,1.3,-,775,748,331,"1,319"
구경이,2021.10.30,JTBC,토일,561,"2,610",143,783,103,1.3,0.8,0.6,1,0.5,0.5,0.5,1.7,0.9,-,625,"7,014",296,"9,957"
키마이라,2021.10.30,OCN,토일,413,689,71,354,186,1.5,0.9,0.8,1,0.3,0.6,0.2,0.9,2.3,-,-,-,-,-
KBS드라마스페셜2021,2021.10.22,KBS2,금,368,"1,763",137,"1,055",120,1.1,0.6,0.5,0.7,0.3,0.3,0.4,0.6,1.1,-,-,32,171,-
IDOL,2021.11.08,JTBC,월화,303,"2,141",329,751,171,0.7,0.6,0.5,0.6,0.8,0.5,0.4,0.4,0.8,-,800,"2,589",273,"3,096"
고스트닥터,2022.01.03,tvN,월화,284,"1,271",249,908,33,0,0,0,0,0,0,0,0,0,-,-,-,-,-
트레이서,2022.01.07,MBC,금,202,558,10,445,7,0,0,0,0,0,0,0,0,0,-,-,-,-,-
악의마음을읽는자들,2022.01.14,SBS,금,179,705,55,492,10,0,0,0,0,0,0,0,0,0,-,-,-,-,-
크라임퍼즐,2021.11.01,SKY,월화,46,78,5,57,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-
하트가빛나는순간,2021.09.28,EBS1,월화,27,"3,210",920,32,0,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,-,-,-,38,175
마녀식당으로오세요,2022.01.05,tvN,수목,12,11,0,2,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-
