방송일자,채널명,프로그램시작시간,프로그램종료시간,프로그램명,방송회차명,프로그램장르소분류명,출연진내용,총시청률
20200110,SBS,22,230546,스토브리그,8회,미니시리즈,"남궁민,박은빈,오정세",7.900362857142858
20200111,SBS,22,223514,스토브리그,9회,미니시리즈,"남궁민,박은빈,오정세",5.805600714285715
20200111,SBS,22,230623,스토브리그,9회,미니시리즈,"남궁민,박은빈,오정세",8.125597857142855
20200111,tvN,21,223618,사랑의불시착,7회,미니시리즈,"현빈,손예진,서지혜",5.94691142857143
20200112,tvN,21,224017,사랑의불시착,8회,미니시리즈,"현빈,손예진,서지혜",6.432621428571428
20200113,SBS,21,220808,낭만닥터김사부2,3회,미니시리즈,"한석규,안효섭,이성경",6.259861428571429
20200113,SBS,22,224252,낭만닥터김사부2,3회,미니시리즈,"한석규,안효섭,이성경",8.911037857142857
20200113,JTBC,21,223521,검사내전,7회,미니시리즈,"이선균,정려원,이성재",1.5161342857142857
20200113,tvN,21,224818,블랙독,9회,미니시리즈,"서현진,라미란,하준",2.04441
20200114,SBS,21,221113,낭만닥터김사부2,4회,미니시리즈,"한석규,안효섭,이성경",7.87393357142857
20200114,SBS,22,224552,낭만닥터김사부2,4회,미니시리즈,"한석규,안효섭,이성경",9.787325
20200114,JTBC,21,224214,검사내전,8회,미니시리즈,"이선균,정려원,이성재",1.5120164285714286
20200114,tvN,21,225011,블랙독,10회,미니시리즈,"서현진,라미란,하준",1.6622507142857141
20200115,KBS2,22,223158,99억의여자,25회,미니시리즈,"조여정,김강우,정웅인",4.176639285714286
20200115,KBS2,22,230652,99억의여자,26회,미니시리즈,"조여정,김강우,정웅인",4.577178571428571
20200115,MBC,21,220021,하자있는인간들,30회,미니시리즈,"오연서,안재현,김슬기",1.4264664285714286
20200116,KBS2,22,223144,99억의여자,27회,미니시리즈,"조여정,김강우,정웅인",2.75401
20200116,KBS2,22,230527,99억의여자,28회,미니시리즈,"조여정,김강우,정웅인",3.35125
20200116,MBC,21,215959,하자있는인간들,32회,미니시리즈,"오연서,안재현,김슬기",1.2923521428571427
20200116,OCN,22,240218,트랩,1회,미니시리즈,"이서진,성동일,임화영",0.18636142857142857
20200117,SBS,22,222224,스토브리그,10회,미니시리즈,"남궁민,박은빈,오정세",6.203382857142857
20200117,SBS,22,224316,스토브리그,10회,미니시리즈,"남궁민,박은빈,오정세",7.878640714285713
20200117,SBS,22,230456,스토브리그,10회,미니시리즈,"남궁민,박은빈,오정세",8.69298642857143
20200118,SBS,22,222321,스토브리그,11회,미니시리즈,"남궁민,박은빈,오정세",5.5648349999999995
20200118,SBS,22,224526,스토브리그,11회,미니시리즈,"남궁민,박은빈,오정세",6.552492142857145
20200118,SBS,22,230710,스토브리그,11회,미니시리즈,"남궁민,박은빈,오정세",8.602050000000002
20200118,tvN,21,223955,사랑의불시착,9회,미니시리즈,"현빈,손예진,서지혜",6.929779285714285
20200119,tvN,21,223801,사랑의불시착,10회,미니시리즈,"현빈,손예진,서지혜",9.203714285714286
20200120,SBS,21,221606,낭만닥터김사부2,5회,미니시리즈,"한석규,안효섭,이성경",7.457692857142858
20200120,SBS,22,224906,낭만닥터김사부2,5회,미니시리즈,"한석규,안효섭,이성경",9.418402142857142
20200120,JTBC,21,224111,검사내전,9회,미니시리즈,"이선균,정려원,이성재",1.278187857142857
20200120,tvN,21,224827,블랙독,11회,미니시리즈,"서현진,라미란,하준",1.8421535714285715
20200121,SBS,21,221722,낭만닥터김사부2,6회,미니시리즈,"한석규,안효섭,이성경",7.953050714285714
20200121,SBS,22,225034,낭만닥터김사부2,6회,미니시리즈,"한석규,안효섭,이성경",9.926347857142858
20200121,JTBC,21,223902,검사내전,10회,미니시리즈,"이선균,정려원,이성재",1.3230785714285713
20200121,tvN,21,225009,블랙독,12회,미니시리즈,"서현진,라미란,하준",2.0125349999999997
20200122,KBS2,22,222945,99억의여자,29회,미니시리즈,"조여정,김강우,정웅인",3.129055
20200122,KBS2,22,230817,99억의여자,30회,미니시리즈,"조여정,김강우,정웅인",3.814272857142857
20200122,MBC,21,215959,더게임0시를향하여,2회,미니시리즈,"옥택연,이연희,임주환",1.7686907142857144
20200122,tvN,22,241930,사랑의불시착,9회,미니시리즈,"현빈,손예진,서지혜",1.0916885714285713
20200123,KBS2,22,223125,99억의여자,31회,미니시리즈,"조여정,김강우,정웅인",2.937325714285714
20200123,KBS2,22,230601,99억의여자,32회,미니시리즈,"조여정,김강우,정웅인",3.5641335714285716
20200123,MBC,21,220040,더게임0시를향하여,4회,미니시리즈,"옥택연,이연희,임주환",1.7778957142857144
20200127,SBS,21,221257,낭만닥터김사부2,7회,미니시리즈,"한석규,안효섭,이성경",6.887628571428572
20200127,SBS,22,224906,낭만닥터김사부2,7회,미니시리즈,"한석규,안효섭,이성경",9.512322142857142
20200127,JTBC,21,223224,검사내전,11회,미니시리즈,"이선균,정려원,이성재",1.1625150000000002
20200127,tvN,21,224625,블랙독,13회,미니시리즈,"서현진,라미란,하준",2.0430957142857147
20200128,SBS,21,221717,낭만닥터김사부2,8회,미니시리즈,"한석규,안효섭,이성경",8.288941428571428
20200128,SBS,22,225429,낭만닥터김사부2,8회,미니시리즈,"한석규,안효섭,이성경",10.323736428571431
20200128,JTBC,21,224053,검사내전,12회,미니시리즈,"이선균,정려원,이성재",1.6406842857142858
20200128,tvN,21,224329,블랙독,14회,미니시리즈,"서현진,라미란,하준",1.6167242857142858
20200129,MBC,21,220027,더게임0시를향하여,6회,미니시리즈,"옥택연,이연희,임주환",1.9941150000000003
20200130,MBC,21,220121,더게임0시를향하여,8회,미니시리즈,"옥택연,이연희,임주환",2.6040071428571427
20200131,SBS,22,222128,스토브리그,12회,미니시리즈,"남궁민,박은빈,오정세",6.9168835714285715
20200131,SBS,22,224002,스토브리그,12회,미니시리즈,"남궁민,박은빈,오정세",7.990763571428571
20200131,SBS,22,230325,스토브리그,12회,미니시리즈,"남궁민,박은빈,오정세",8.827580714285714
20200201,SBS,22,221853,스토브리그,13회,미니시리즈,"남궁민,박은빈,오정세",5.280482857142857
20200201,SBS,22,224129,스토브리그,13회,미니시리즈,"남궁민,박은빈,오정세",6.416446428571429
20200201,SBS,22,230623,스토브리그,13회,미니시리즈,"남궁민,박은빈,오정세",8.880215714285715
20200201,tvN,21,223858,사랑의불시착,11회,미니시리즈,"현빈,손예진,서지혜",8.684947142857142
20200201,OCN,22,240438,본대로말하라,1회,미니시리즈,"장혁,최수영,진서연",0.8228892857142859
20200202,tvN,21,224953,사랑의불시착,12회,미니시리즈,"현빈,손예진,서지혜",10.90056
20200202,OCN,21,224856,본대로말하라,1회,미니시리즈,"장혁,최수영,진서연",0.42543857142857144
20200202,OCN,22,240124,본대로말하라,2회,미니시리즈,"장혁,최수영,진서연",1.5121778571428572
20200203,SBS,21,221315,낭만닥터김사부2,9회,미니시리즈,"한석규,안효섭,이성경",7.709137857142857
20200203,SBS,22,224820,낭만닥터김사부2,9회,미니시리즈,"한석규,안효섭,이성경",9.604202142857144
20200203,JTBC,21,223742,검사내전,13회,미니시리즈,"이선균,정려원,이성재",1.4985178571428575
20200203,JTBC,22,240505,이태원클라쓰,1회,미니시리즈,"박서준,김다미,유재명",0.8825700000000002
20200203,tvN,21,224826,블랙독,15회,미니시리즈,"서현진,라미란,하준",1.8089142857142857
20200204,SBS,21,221442,낭만닥터김사부2,10회,미니시리즈,"한석규,안효섭,이성경",8.421358571428572
20200204,SBS,22,224912,낭만닥터김사부2,10회,미니시리즈,"한석규,안효섭,이성경",9.834665714285714
20200204,JTBC,21,223922,검사내전,14회,미니시리즈,"이선균,정려원,이성재",1.4227035714285712
20200204,tvN,21,224947,블랙독,16회,미니시리즈,"서현진,라미란,하준",1.9646164285714285
20200205,MBC,21,220042,더게임0시를향하여,10회,미니시리즈,"옥택연,이연희,임주환",2.269892857142857
20200206,MBC,21,220127,더게임0시를향하여,12회,미니시리즈,"옥택연,이연희,임주환",1.9299085714285713
20200207,SBS,22,221955,스토브리그,14회,미니시리즈,"남궁민,박은빈,오정세",6.781062857142857
20200207,SBS,22,224317,스토브리그,14회,미니시리즈,"남궁민,박은빈,오정세",7.834969285714285
20200207,SBS,22,230501,스토브리그,14회,미니시리즈,"남궁민,박은빈,오정세",8.551013571428573
20200208,SBS,22,222309,스토브리그,15회,미니시리즈,"남궁민,박은빈,오정세",5.92291857142857
20200208,SBS,22,224221,스토브리그,15회,미니시리즈,"남궁민,박은빈,오정세",7.439530714285714
20200208,SBS,22,230705,스토브리그,15회,미니시리즈,"남궁민,박은빈,오정세",9.419593571428573
20200208,tvN,21,223626,사랑의불시착,13회,미니시리즈,"현빈,손예진,서지혜",8.939942857142857
20200208,OCN,22,240143,본대로말하라,3회,미니시리즈,"장혁,최수영,진서연",0.5384464285714287
20200209,tvN,21,224514,사랑의불시착,14회,미니시리즈,"현빈,손예진,서지혜",11.607539999999998
20200209,OCN,21,225006,본대로말하라,3회,미니시리즈,"장혁,최수영,진서연",0.4074292857142857
20200209,OCN,22,240131,본대로말하라,4회,미니시리즈,"장혁,최수영,진서연",1.6526721428571431
20200210,SBS,21,221850,낭만닥터김사부2,11회,미니시리즈,"한석규,안효섭,이성경",9.168110714285715
20200210,SBS,22,225209,낭만닥터김사부2,11회,미니시리즈,"한석규,안효섭,이성경",10.326581428571428
20200210,JTBC,21,223858,검사내전,15회,미니시리즈,"이선균,정려원,이성재",1.6579057142857143
20200210,tvN,21,224434,방법,1회,미니시리즈,"엄지원,정지소,성동일",1.5694878571428572
20200211,SBS,21,221540,낭만닥터김사부2,12회,미니시리즈,"한석규,안효섭,이성경",8.935069285714286
20200211,SBS,22,225206,낭만닥터김사부2,12회,미니시리즈,"한석규,안효섭,이성경",10.417791428571428
20200211,JTBC,21,224556,검사내전,16회,미니시리즈,"이선균,정려원,이성재",2.106568571428571
20200211,tvN,21,224046,방법,2회,미니시리즈,"엄지원,정지소,성동일",1.4094178571428573
20200212,MBC,21,220117,더게임0시를향하여,14회,미니시리즈,"옥택연,이연희,임주환",1.8815992857142856
20200213,MBC,21,220054,더게임0시를향하여,16회,미니시리즈,"옥택연,이연희,임주환",1.6672742857142857
20200213,JTBC,22,235501,이태원클라쓰,4회,미니시리즈,"박서준,김다미,유재명",0.605785
20200214,SBS,22,222201,스토브리그,16회,미니시리즈,"남궁민,박은빈,오정세",7.246112857142857
20200214,SBS,22,224306,스토브리그,16회,미니시리즈,"남궁민,박은빈,오정세",8.260931428571428
20200214,SBS,22,230724,스토브리그,16회,미니시리즈,"남궁민,박은빈,오정세",9.170494285714286
20200215,SBS,22,223851,스토브리그,,미니시리즈,"남궁민,박은빈,오정세",2.2736807142857143
20200215,SBS,22,230410,스토브리그,,미니시리즈,"남궁민,박은빈,오정세",3.6370449999999996
20200215,tvN,21,223720,사랑의불시착,15회,미니시리즈,"현빈,손예진,서지혜",9.909238571428572
20200215,OCN,21,224645,본대로말하라,4회,미니시리즈,"장혁,최수영,진서연",0.42932499999999996
20200215,OCN,22,240023,본대로말하라,5회,미니시리즈,"장혁,최수영,진서연",1.0301157142857142
20200216,tvN,21,230527,사랑의불시착,16회,미니시리즈,"현빈,손예진,서지혜",12.928459285714284
20200216,OCN,21,224702,본대로말하라,5회,미니시리즈,"장혁,최수영,진서연",0.43877
20200216,OCN,22,240031,본대로말하라,6회,미니시리즈,"장혁,최수영,진서연",1.797337142857143
20200217,SBS,21,221844,낭만닥터김사부2,13회,미니시리즈,"한석규,안효섭,이성경",8.740004285714283
20200217,SBS,22,225621,낭만닥터김사부2,13회,미니시리즈,"한석규,안효섭,이성경",10.141367857142857
20200217,JTBC,21,224143,안녕드라큘라,1회,미니시리즈,"서현,이지현,이주빈",0.7823792857142857
20200217,tvN,21,224656,방법,3회,미니시리즈,"엄지원,정지소,성동일",1.972675714285714
20200218,SBS,21,221303,낭만닥터김사부2,14회,미니시리즈,"한석규,안효섭,이성경",9.005645
20200218,SBS,22,225624,낭만닥터김사부2,14회,미니시리즈,"한석규,안효섭,이성경",10.8939
20200218,JTBC,21,224239,안녕드라큘라,2회,미니시리즈,"서현,이지현,이주빈",0.44022
20200218,tvN,21,224212,방법,4회,미니시리즈,"엄지원,정지소,성동일",1.984158571428571
20200219,MBC,21,220025,더게임0시를향하여,18회,미니시리즈,"옥택연,이연희,임주환",1.5436964285714285
20200220,MBC,21,220110,더게임0시를향하여,20회,미니시리즈,"옥택연,이연희,임주환",1.7640892857142856
20200220,JTBC,22,235905,이태원클라쓰,6회,미니시리즈,"박서준,김다미,유재명",0.6213485714285715
20200220,tvN,22,235727,방법,3회,미니시리즈,"엄지원,정지소,성동일",0.39525785714285716
20200222,tvN,21,222616,하이바이마마,1회,미니시리즈,"김태희,이규형,고보결",3.7028499999999993
20200222,OCN,21,225239,본대로말하라,6회,미니시리즈,"장혁,최수영,진서연",0.35623785714285716
20200222,OCN,22,240124,본대로말하라,7회,미니시리즈,"장혁,최수영,진서연",0.8736949999999999
20200223,tvN,21,222316,하이바이마마,2회,미니시리즈,"김태희,이규형,고보결",4.5696507142857135
20200223,OCN,21,224844,본대로말하라,7회,미니시리즈,"장혁,최수영,진서연",0.7708521428571428
20200223,OCN,22,240621,본대로말하라,8회,미니시리즈,"장혁,최수영,진서연",1.8515714285714284
20200224,SBS,21,222048,낭만닥터김사부2,15회,미니시리즈,"한석규,안효섭,이성경",10.337117142857142
20200224,SBS,22,225715,낭만닥터김사부2,15회,미니시리즈,"한석규,안효섭,이성경",12.444827142857141
20200224,JTBC,21,223504,날씨가좋으면찾아가겠어요,1회,미니시리즈,"박민영,서강준,문정희",1.0489471428571429
20200224,tvN,21,223748,방법,5회,미니시리즈,"엄지원,정지소,성동일",1.7926814285714283
20200225,SBS,21,221151,낭만닥터김사부2,16회,미니시리즈,"한석규,안효섭,이성경",11.344113571428574
20200225,SBS,22,223832,낭만닥터김사부2,16회,미니시리즈,"한석규,안효섭,이성경",12.533765
20200225,SBS,22,231328,낭만닥터김사부2,16회,미니시리즈,"한석규,안효섭,이성경",13.384322857142857
20200225,JTBC,21,223915,날씨가좋으면찾아가겠어요,2회,미니시리즈,"박민영,서강준,문정희",0.8692071428571427
20200225,tvN,21,224348,방법,6회,미니시리즈,"엄지원,정지소,성동일",1.7702414285714287
20200226,MBC,21,220133,더게임0시를향하여,22회,미니시리즈,"옥택연,이연희,임주환",2.1678349999999997
20200227,MBC,21,220233,더게임0시를향하여,24회,미니시리즈,"옥택연,이연희,임주환",1.8603928571428574
20200227,JTBC,22,235852,이태원클라쓰,8회,미니시리즈,"박서준,김다미,유재명",0.9075771428571429
20200229,tvN,21,222112,하이바이마마,3회,미니시리즈,"김태희,이규형,고보결",4.0196885714285715
20200229,OCN,21,224701,본대로말하라,8회,미니시리즈,"장혁,최수영,진서연",0.27766714285714283
20200229,OCN,22,240101,본대로말하라,9회,미니시리즈,"장혁,최수영,진서연",0.8311321428571429
20200301,tvN,21,222522,하이바이마마,4회,미니시리즈,"김태희,이규형,고보결",4.066492142857142
20200301,OCN,21,225115,본대로말하라,9회,미니시리즈,"장혁,최수영,진서연",0.5152821428571429
20200301,OCN,22,240552,본대로말하라,10회,미니시리즈,"장혁,최수영,진서연",1.608997857142857
20200302,JTBC,21,223803,날씨가좋으면찾아가겠어요,3회,미니시리즈,"박민영,서강준,문정희",1.0919285714285714
20200302,tvN,21,223607,방법,7회,미니시리즈,"엄지원,정지소,성동일",2.0188007142857143
20200303,JTBC,21,223644,날씨가좋으면찾아가겠어요,4회,미니시리즈,"박민영,서강준,문정희",1.0331928571428572
20200303,tvN,21,223750,방법,8회,미니시리즈,"엄지원,정지소,성동일",2.9310635714285715
20200304,MBC,21,220129,더게임0시를향하여,26회,미니시리즈,"옥택연,이연희,임주환",2.1057792857142856
20200304,tvN,22,235951,방법,7회,미니시리즈,"엄지원,정지소,성동일",0.6232342857142857
20200305,MBC,21,220203,더게임0시를향하여,28회,미니시리즈,"옥택연,이연희,임주환",1.8970335714285718
20200305,JTBC,22,240210,이태원클라쓰,10회,미니시리즈,"박서준,김다미,유재명",0.566925
20200307,tvN,21,221639,하이바이마마,5회,미니시리즈,"김태희,이규형,고보결",4.17582857142857
20200307,OCN,21,224731,본대로말하라,10회,미니시리즈,"장혁,최수영,진서연",0.3551307142857142
20200307,OCN,22,240154,본대로말하라,11회,미니시리즈,"장혁,최수영,진서연",1.0344807142857144
20200308,tvN,21,222157,하이바이마마,6회,미니시리즈,"김태희,이규형,고보결",4.504157857142856
20200308,OCN,21,224545,본대로말하라,11회,미니시리즈,"장혁,최수영,진서연",0.6975
20200308,OCN,22,240537,본대로말하라,12회,미니시리즈,"장혁,최수영,진서연",2.0189942857142857
20200309,tvN,21,223546,방법,9회,미니시리즈,"엄지원,정지소,성동일",2.724497857142857
20200310,tvN,21,224156,방법,10회,미니시리즈,"엄지원,정지소,성동일",3.0051550000000007
20200311,MBC,21,220021,더게임0시를향하여,30회,미니시리즈,"옥택연,이연희,임주환",2.1675714285714283
20200311,tvN,22,235431,메모리스트,1회,미니시리즈,"유승호,이세영,조성하",1.9067378571428573
20200312,MBC,21,220220,더게임0시를향하여,32회,미니시리즈,"옥택연,이연희,임주환",2.204647857142857
20200312,JTBC,22,240115,이태원클라쓰,12회,미니시리즈,"박서준,김다미,유재명",0.4666221428571428
20200312,tvN,22,234352,메모리스트,2회,미니시리즈,"유승호,이세영,조성하",1.6578585714285714
20200314,tvN,21,221841,하이바이마마,7회,미니시리즈,"김태희,이규형,고보결",4.028376428571428
20200314,OCN,21,224717,본대로말하라,12회,미니시리즈,"장혁,최수영,진서연",0.3334035714285714
20200314,OCN,22,240041,본대로말하라,13회,미니시리즈,"장혁,최수영,진서연",0.8331614285714287
20200315,tvN,21,222435,하이바이마마,8회,미니시리즈,"김태희,이규형,고보결",4.351091428571428
20200315,OCN,21,224657,본대로말하라,13회,미니시리즈,"장혁,최수영,진서연",0.5962714285714286
20200315,OCN,22,240135,본대로말하라,14회,미니시리즈,"장혁,최수영,진서연",1.91154
20200316,JTBC,21,223836,날씨가좋으면찾아가겠어요,5회,미니시리즈,"박민영,서강준,문정희",0.8546135714285714
20200316,tvN,21,223633,방법,11회,미니시리즈,"엄지원,정지소,성동일",2.676729285714285
20200317,JTBC,21,223608,날씨가좋으면찾아가겠어요,6회,미니시리즈,"박민영,서강준,문정희",1.1370585714285713
20200317,tvN,21,224225,방법,12회,미니시리즈,"엄지원,정지소,성동일",3.613949285714285
20200318,MBC,21,220116,그남자의기억법,2회,미니시리즈,"김동욱,문가영,윤종훈",2.3174321428571427
20200318,tvN,22,235510,메모리스트,3회,미니시리즈,"유승호,이세영,조성하",1.8669792857142855
20200319,MBC,21,220141,그남자의기억법,4회,미니시리즈,"김동욱,문가영,윤종훈",1.390605
20200319,JTBC,22,235734,이태원클라쓰,14회,미니시리즈,"박서준,김다미,유재명",0.5930321428571428
20200319,tvN,21,223557,슬기로운의사생활,2회,미니시리즈,"조정석,유연석,정경호",5.3134950000000005
20200319,tvN,22,235050,메모리스트,4회,미니시리즈,"유승호,이세영,조성하",1.8098899999999998
20200321,tvN,21,222045,하이바이마마,9회,미니시리즈,"김태희,이규형,고보결",4.661150714285715
20200321,OCN,21,224747,본대로말하라,14회,미니시리즈,"장혁,최수영,진서연",0.7639928571428571
20200321,OCN,22,240026,본대로말하라,15회,미니시리즈,"장혁,최수영,진서연",0.7544271428571429
20200322,tvN,21,222927,하이바이마마,10회,미니시리즈,"김태희,이규형,고보결",4.555601428571428
20200322,OCN,21,224349,본대로말하라,15회,미니시리즈,"장혁,최수영,진서연",0.9085178571428573
20200322,OCN,22,240058,본대로말하라,16회,미니시리즈,"장혁,최수영,진서연",2.0247192857142857
20200323,MBC,21,220109,365운명을거스르는1년,2회,미니시리즈,"이준혁,남지현,김지수",2.516328571428571
20200323,JTBC,21,223539,날씨가좋으면찾아가겠어요,7회,미니시리즈,"박민영,서강준,문정희",0.8613264285714287
20200323,tvN,21,221722,반의반,1회,미니시리즈,"정해인,채수빈,이하나",1.4466942857142855
20200324,MBC,21,220111,365운명을거스르는1년,4회,미니시리즈,"이준혁,남지현,김지수",2.401012857142857
20200324,JTBC,21,223346,날씨가좋으면찾아가겠어요,8회,미니시리즈,"박민영,서강준,문정희",1.013955714285714
20200324,tvN,21,221519,반의반,2회,미니시리즈,"정해인,채수빈,이하나",1.1155464285714287
20200325,MBC,21,220148,그남자의기억법,6회,미니시리즈,"김동욱,문가영,윤종훈",1.8471685714285715
20200325,tvN,22,235143,메모리스트,5회,미니시리즈,"유승호,이세영,조성하",1.7066907142857144
20200326,MBC,21,220125,그남자의기억법,8회,미니시리즈,"김동욱,문가영,윤종훈",1.6904314285714286
20200326,JTBC,22,242005,이태원클라쓰,16회,미니시리즈,"박서준,김다미,유재명",0.4462535714285714
20200326,tvN,21,224051,슬기로운의사생활,3회,미니시리즈,"조정석,유연석,정경호",5.929747142857143
20200326,tvN,22,235219,메모리스트,6회,미니시리즈,"유승호,이세영,조성하",1.8968514285714284
20200327,tvN,22,241533,슬기로운의사생활,3회,미니시리즈,"조정석,유연석,정경호",1.0716221428571429
20200328,tvN,21,221600,하이바이마마,11회,미니시리즈,"김태희,이규형,고보결",4.437121428571428
20200328,OCN,22,241751,루갈,1회,미니시리즈,"최진혁,박성웅,조동혁",1.3181235714285713
20200329,tvN,21,222248,하이바이마마,12회,미니시리즈,"김태희,이규형,고보결",3.8917300000000004
20200329,OCN,21,224223,루갈,1회,미니시리즈,"최진혁,박성웅,조동혁",0.6058807142857143
20200329,OCN,22,241109,루갈,2회,미니시리즈,"최진혁,박성웅,조동혁",2.1851
20200330,MBC,21,215941,365운명을거스르는1년,6회,미니시리즈,"이준혁,남지현,김지수",2.3548207142857143
20200330,JTBC,21,223610,날씨가좋으면찾아가겠어요,9회,미니시리즈,"박민영,서강준,문정희",1.0844271428571428
20200330,tvN,21,221603,반의반,3회,미니시리즈,"정해인,채수빈,이하나",0.8566014285714286
20200331,MBC,21,220016,365운명을거스르는1년,8회,미니시리즈,"이준혁,남지현,김지수",2.165645
20200331,JTBC,21,224218,날씨가좋으면찾아가겠어요,10회,미니시리즈,"박민영,서강준,문정희",1.1792542857142856
20200331,tvN,21,221553,반의반,4회,미니시리즈,"정해인,채수빈,이하나",1.0212164285714285
20200401,MBC,21,220119,그남자의기억법,10회,미니시리즈,"김동욱,문가영,윤종훈",2.5469264285714286
20200401,tvN,22,235959,메모리스트,7회,미니시리즈,"유승호,이세영,조성하",1.5975407142857143
20200402,MBC,21,220118,그남자의기억법,12회,미니시리즈,"김동욱,문가영,윤종훈",1.430395
20200402,JTBC,22,241856,부부의세계,1회,미니시리즈,"김희애,박해준,한소희",0.5152228571428571
20200402,tvN,21,223759,슬기로운의사생활,4회,미니시리즈,"조정석,유연석,정경호",5.658548571428573
20200402,tvN,22,235557,메모리스트,8회,미니시리즈,"유승호,이세영,조성하",1.4227571428571426
20200403,tvN,22,234643,슬기로운의사생활,4회,미니시리즈,"조정석,유연석,정경호",0.9861464285714286
20200404,OCN,21,224103,루갈,2회,미니시리즈,"최진혁,박성웅,조동혁",0.6359199999999999
20200404,OCN,22,240330,루갈,3회,미니시리즈,"최진혁,박성웅,조동혁",1.5515314285714286
20200405,tvN,21,223444,슬기로운의사생활,4회,미니시리즈,"조정석,유연석,정경호",1.2959707142857142
20200405,OCN,21,224611,루갈,3회,미니시리즈,"최진혁,박성웅,조동혁",0.5397235714285714
20200405,OCN,22,240553,루갈,4회,미니시리즈,"최진혁,박성웅,조동혁",1.4900964285714287
20200406,KBS2,22,223449,계약우정,1회,미니시리즈,"이신영,신승호,김소혜",1.9571342857142857
20200406,KBS2,22,230714,계약우정,2회,미니시리즈,"이신영,신승호,김소혜",1.7953742857142854
20200406,MBC,21,220029,365운명을거스르는1년,10회,미니시리즈,"이준혁,남지현,김지수",2.52357
20200406,JTBC,21,223816,날씨가좋으면찾아가겠어요,11회,미니시리즈,"박민영,서강준,문정희",1.12002
20200406,tvN,21,221901,반의반,5회,미니시리즈,"정해인,채수빈,이하나",0.8825571428571427
20200407,KBS2,22,223001,계약우정,3회,미니시리즈,"이신영,신승호,김소혜",0.8484064285714287
20200407,KBS2,22,230357,계약우정,4회,미니시리즈,"이신영,신승호,김소혜",1.0838614285714283
20200407,MBC,21,220223,365운명을거스르는1년,12회,미니시리즈,"이준혁,남지현,김지수",2.7252671428571427
