,방송일자,채널명,프로그램시작시간,프로그램종료시간,프로그램명,방송회차명,프로그램장르소분류명,출연진내용,장르1,장르2,가구평균시청률(%)
87,20210414,KBS2,21,220306,대박부동산,1회,미니시리즈,"장나라,정용화,강말금",퇴마,,4.866666666666666
88,20210414,JTBC,21,222048,로스쿨,1회,미니시리즈,"김명민,김범,류혜영",법정,,4.133333333333334
89,20210427,JTBC,21,222435,언더커버,1회,미니시리즈,"지진희,김현주,허준호",정치,액션,2.733333333333333
90,20210430,tvN,22,235220,다크홀,1회,미니시리즈,"김옥빈,이준혁,임원희",판타지,미스터리,0.9
91,20210503,KBS2,21,220526,오월의청춘,1회,미니시리즈,"이도현,고민시,이상이",로맨스,,4.8
92,20210508,tvN,21,222139,마인,1회,미니시리즈,"이보영,김서형,이현욱",미스터리,,6.0
93,20210510,tvN,21,220943,어느날우리집현관으로멸망이들어왔다,1회,미니시리즈,"박보영,서인국,이수혁",로맨스,판타지,3.35
94,20210519,MBC,21,214745,목표가생겼다,1회,미니시리즈,"김환희,류수영,김도훈",로맨스,,2.7
95,20210531,SBS,22,223348,라켓소년단,1회,미니시리즈,"김상경,오나라,탕준상",스포츠,,4.9
96,20210701,MBC,21,220411,미치지않고서야,4회,미니시리즈,"정재영,문소리,이상엽",오피스,,3.5666666666666664
97,20210701,tvN,22,235635,간떨어지는동거,12회,미니시리즈,"장기용,혜리,강한나",판타지,로맨스,3.733333333333333
98,20210702,SBS,22,232719,펜트하우스3,5회,미니시리즈,"유진,김소연,이지아",범죄,스릴러,15.725
99,20210703,tvN,21,223536,악마판사,1회,미니시리즈,"지성,김민정,진영",법정,미스터리,5.35
100,20210703,tvN,22,655,보이스시즌4,6회,미니시리즈,"송승헌,이하나,이규형",추리,수사,
101,20210705,KBS2,21,223701,멀리서보면푸른봄,7회,미니시리즈,"박지훈,강민아,배인혁",청춘,,2.1
102,20210705,tvN,21,221714,너는나의봄,1회,미니시리즈,"서현진,김동욱,윤박",로맨스,미스터리,2.2
103,20210804,tvN,22,1819,더로드1의비극,1회,미니시리즈,"지진희,윤세아,김혜은",미스터리,,1.9500000000000002
104,20210805,tvN,21,223210,슬기로운의사생활시즌2,7회,미니시리즈,"조정석,유연석,정경호",의학,,
105,20210809,KBS2,21,223551,경찰수업,1회,미니시리즈,"진영,차태현,정수정",수사,,5.966666666666666
106,20210828,tvN,21,223007,갯마을차차차,1회,미니시리즈,"신민아,김선호,이상이",로맨스,,7.833333333333333
107,20210830,SBS,21,230711,홍천기,1회,미니시리즈,"안효섭,김유정,공명",판타지,사극,7.6000000000000005
108,20210904,JTBC,22,234313,인간실격,1회,미니시리즈,"전도연,류준열,박병은",휴먼,,1.25
109,20210906,tvN,22,233946,하이클래스,1회,미니시리즈,"조여정,김지수,하준",미스터리,,3.5666666666666664
110,20210917,MBC,22,231540,검은태양,1회,미니시리즈,"남궁민,박하선,김지은",액션,,4.75
111,20210917,SBS,21,230347,원더우먼,1회,미니시리즈,"이하늬,이하늬,이상윤",로맨스,코미디,11.833333333333334
112,20210922,KBS2,21,224157,달리와감자탕,1회,미니시리즈,"김민재,박규영,권율",로맨스,,4.233333333333333
113,20210922,tvN,22,233829,홈타운,1회,미니시리즈,"유재명,한예리,엄태구",미스터리,추리,1.8499999999999999
114,20211011,KBS2,21,225039,연모,1회,미니시리즈,"박은빈,로운,남윤수",로맨스, 사극,7.466666666666666
115,20211013,JTBC,22,233204,너를닮은사람,1회,미니시리즈,"고현정,신현빈,김재영",미스터리,로맨스,1.5999999999999999
116,20211023,tvN,21,222659,지리산,1회,미니시리즈,"전지현,주지훈,성동일",미스터리,,6.866666666666667
117,20211029,MBC,22,230131,뫼비우스:검은태양,1회,미니시리즈,"박하선,정문성,장영남",액션,,3.1
118,20211030,JTBC,22,234303,구경이,1회,미니시리즈,"이영애,김혜준,김해숙",액션,코미디,1.5333333333333332
119,20211105,tvN,22,234916,해피니스,1회,미니시리즈,"한효주,박형식,조우진",액션,판타지,3.05
120,20211108,tvN,22,233528,어사와조이,1회,미니시리즈,"옥택연,김혜윤,양희경",사극,로맨스,2.95
121,20211110,tvN,22,234335,멜랑꼴리아,1회,미니시리즈,"임수정,이도현,진경",로맨스,,1.75
122,20211112,MBC,21,230302,옷소매붉은끝동,1회,미니시리즈,"이준호,이세영,강훈",사극,로맨스,7.7
123,20211112,SBS,22,230749,지금헤어지는중입니다,1회,미니시리즈,"송혜교,장기용,최희서",로맨스,,5.199999999999999
124,20211115,JTBC,22,2004,IDOL,3회,미니시리즈,"안희연,곽시양,김민규",청춘,로맨스,0.6
125,20211118,KBS2,21,223616,학교2021,,미니시리즈,"김요한,조이현,추영우",청춘,,2.1
126,20211206,SBS,21,230320,그해우리는,1회,미니시리즈,"최우식,김다미,김성철",로맨스,,3.5
127,20211208,JTBC,22,233512,공작도시,1회,미니시리즈,"수애,김강우,김미숙",미스터리,추리,2.2
128,20211217,tvN,22,335,배드앤크레이지,1회,미니시리즈,"이동욱,위하준,한지은",액션,판타지,2.7
129,20211218,JTBC,22,403,설강화:SNOWDROP,1회,미니시리즈,"정해인,지수,유인나",로맨스,판타지,2.1
130,20211218,tvN,21,223239,불가살,1회,미니시리즈,"이진욱,권나라,이준",미스터리,판타지,4.6
131,20211220,KBS2,21,224640,꽃피면달생각하고,1회,미니시리즈,"유승호,이혜리,변우석",사극,로맨스,6.8
