프로그램명,채널명,월간,게시글,댓글,동영상조회(K),뉴스,동영상
멀리서 보면 푸른 봄,KBS2,606318.0,4571.0,52131.0,2202191.0,5254.0,349.0
메모리스트,tvN,808014.0,7013.0,24798.0,2505365.0,7280.0,749.0
멜랑꼴리아,tvN,606333.0,5705.0,19458.0,11322366.0,5332.0,695.0
모범형사,JTBC,606021.0,4309.0,10140.0,2392890.0,5988.0,531.0
목표가 생겼다,MBC,404209.0,265.0,485.0,74720.0,1643.0,113.0
미쓰리는 알고 있다,MBC,404013.0,626.0,1028.0,157357.0,1593.0,185.0
미씽: 그들이 있었다,OCN,606027.0,5247.0,16139.0,2837271.0,2939.0,641.0
미치지 않고서야,MBC,808426.0,2761.0,9089.0,1894252.0,5087.0,521.0
바람과 구름과 비,TV CHOSUN,606018.0,3117.0,30540.0,2083918.0,5167.0,410.0
바람피면 죽는다,KBS2,808225.0,3752.0,6625.0,1758284.0,11436.0,605.0
반의반,tvN,606012.0,8037.0,37686.0,3353021.0,6285.0,590.0
방법,tvN,606006.0,4695.0,16530.0,5047926.0,5533.0,463.0
번외수사,OCN,606015.0,1798.0,5181.0,1850477.0,3623.0,605.0
보쌈-운명을 훔치다,MBN,808422.0,2158.0,12354.0,3241512.0,5746.0,871.0
복수해라,TV CHOSUN,1010235.0,1556.0,2355.0,250109.0,4560.0,266.0
본 대로 말하라,OCN,606006.0,3713.0,14049.0,2245754.0,3594.0,753.0
본 어게인,KBS2,808018.0,5934.0,28563.0,3380880.0,5718.0,431.0
